Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
255734,299833,5735.2383,591961,2145.1345,201184
465277,363939,5446.047,556892,2464.2114,230107
290667,617893,4859.4194,499204,3917.8801,371132
194942,456362,4196.8706,412922,1610.0175,141620
1299,580573,6229.393,633745,2637.9502,253441
643542,214003,5373.3345,540957,2313.8496,210492
362258,230540,5245.875,535006,4093.0037,384170
66105,583886,5998.2866,625092,3000.8435,294808
66601,17920,5383.553,555998,2227.2637,207463
582189,311493,5216.025,549396,2211.3628,210568
609961,770,5482.5103,544395,4129.857,364676
331481,494862,4636.7925,490619,3570.3525,347178
259062,457771,5028.6016,508011,1813.8625,165683
522571,314875,5053.736,526449,3365.0105,311607
191062,239533,3714.7766,376100,2188.9946,199654
501371,108285,4316.022,455695,3169.3179,307488
242831,138952,5427.024,567131,3030.2668,293830
402353,401074,6289.0347,619252,3626.0986,306324
518530,453927,6612.8525,646479,3573.2954,353362
145201,356617,3541.3682,367742,1504.6725,137069
446022,293131,5342.1255,545101,2273.3845,213669
168611,428553,4071.588,421346,2738.6243,257274
660504,357056,4275.131,387533,2553.5122,228374
224207,388675,3868.7024,408892,2853.9995,265510
113118,369298,6155.6284,629937,3053.2222,271876
91425,130790,4560.602,456722,3051.9849,284418
71420,70145,5856.0366,593554,2959.2302,278276
130302,98651,3713.8171,389876,2473.3015,226854
61340,232786,5015.762,526987,3758.2375,356238
631720,268485,4656.827,483011,4084.3066,390456
127986,238684,4866.755,488427,3297.645,313222
378639,434242,6353.881,634396,4835.6895,448841
378254,591303,4884.1665,521221,2896.9968,274301
608416,576550,6287.158,632346,2781.1145,256678
69424,528463,3656.3262,364057,1215.4318,94598
216922,272528,4264.0522,468544,2850.2175,272682
472456,377785,3844.922,405695,2521.877,239773
18616,221882,3445.4177,371670,1564.05,137818
193492,395495,4254.834,419396,1424.3573,122441
132722,429554,4635.1157,432422,1863.3406,153599
