Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
183017,575158,1178.9777,101819,762.1919,25188
511015,25973,2658.4507,306839,874.2689,56515
41806,138736,2062.584,218112,863.1437,63257
307321,423801,1321.3956,122639,745.63635,38373
202159,228524,2952.7144,325474,486.26224,20277
23855,537088,2559.9573,280464,905.28064,66980
370150,490403,2370.9016,271240,788.3576,48180
595428,529331,2598.419,295885,905.40063,61730
598382,426988,2746.8513,301184,1116.0157,89160
261818,63541,3917.395,385641,621.014,35519
634521,526328,2521.2012,267020,510.78693,16548
633505,235203,2438.107,262042,628.45636,22099
3335,147727,1446.4656,151914,613.4609,25847
36573,413977,2607.5913,274249,5925.0312,648389
31684,406444,1777.5234,189327,706.3505,45843
328567,365293,1693.6755,180913,670.9521,33517
505037,175650,3357.2827,356325,717.267,42426
353250,32540,2794.346,303540,771.8003,52296
656774,92710,3466.1653,393118,563.66034,25113
359900,230907,2265.232,252826,664.67706,29656
191425,232616,2569.878,275675,637.6759,36927
386795,138594,1363.2474,162758,984.2622,67682
325845,471812,1216.9266,129882,495.6315,22230
139514,362029,2665.4072,263233,618.06146,27259
445314,63364,1936.1975,195915,413.19278,11238
37077,254931,2173.0354,249985,997.3059,81639
436312,222914,1560.4408,161666,444.74338,17233
526661,286184,1179.6265,113224,632.9602,27917
536055,372373,2778.3337,308413,570.1168,20254
553785,168336,1486.8048,151673,438.95218,5158
436444,417540,2435.6243,255343,646.37195,38773
501662,87341,3185.231,334331,648.744,40445
376195,296696,3466.7708,353841,590.2704,33351
537454,565703,3152.2815,344510,722.0102,49412
230638,518216,3037.442,324298,496.9063,21615
646162,359542,3719.1506,389208,734.86786,46104
655589,393423,3554.6658,392980,639.6643,34441
229139,316409,1154.4185,139218,6327.8193,648389
538867,81213,1443.2347,141397,781.5636,31116
213068,221753,2465.4956,247711,580.99725,29079
107640,23486,1474.64,154392,801.4758,44854
460113,156193,1607.8333,180738,459.27264,17849
329762,96005,2042.0397,231569,1102.578,96128
158460,649549,1200.0748,117826,451.9215,15515
174435,222381,2992.0837,323414,647.1616,42624
153090,634509,1584.9008,167856,700.5181,37637
129696,419694,2361.2866,249353,774.0556,52431
412789,89692,1357.0416,134987,421.67743,15377
490703,485524,2429.395,261669,1000.08075,78471
606660,346621,1688.4347,189287,615.39166,30320
104658,254764,1910.5021,201013,670.5447,34572
314740,162142,2089.2583,235695,424.75165,16298
333256,399914,2508.4863,282185,613.8177,28496
404873,299034,3597.4526,370376,673.77496,31431
231164,7215,4352.4233,471031,757.535,51471
654647,193279,3785.881,412782,660.1375,35486
76627,316000,1870.6509,202258,748.09436,44865
17236,218904,1762.0697,208981,713.42773,48040
378426,49785,1143.8295,121186,371.89175,7956
418354,610680,1562.1332,178846,458.35464,17251
248183,541583,1186.3644,128095,395.36832,10437
149655,632284,2217.648,259374,617.5267,36235
634671,434815,3633.1555,388019,847.06866,59739
559804,134658,3073.5884,338274,697.6953,39617
600641,288395,1866.7357,199694,780.64954,54223
223703,30891,2367.8901,250074,839.3189,62156
533688,139963,2743.3022,311250,484.11395,23647
504524,25121,3422.793,377709,588.58453,34492
207021,529385,2051.047,193888,891.1516,58784
552888,577173,2451.488,270198,515.35144,25626
339530,654749,2288.338,251843,698.5401,46541
79149,284305,1214.7362,123382,444.84402,17546
539433,638722,1551.4734,168486,750.11163,41787
547910,228973,1487.9281,170810,661.3567,43873
158093,298769,2410.5566,285270,810.98315,52809
77781,408749,2436.2805,253462,545.80896,24191
503336,71167,1438.3789,161996,674.3197,44472
265886,84774,1014.0233,127475,814.2944,49203
252888,427795,779.227,95313,752.0251,39484
455797,613904,3687.6877,399774,620.33875,35687
304218,607180,1642.1318,168462,368.7072,8718
506971,524792,2469.983,263032,550.4321,26809
574453,656538,2666.2585,289926,562.4218,31712
261853,229033,1628.1537,179325,380.60077,11019
183097,396369,2130.263,230060,523.33203,24433
282253,654592,3085.6204,327933,607.02905,30746
456324,298167,2935.0657,328260,529.267,21905
107217,89392,1885.1986,192837,735.5101,48619
246794,206874,2593.0095,275433,540.91254,27529
299544,302277,3856.7146,438336,635.0339,37029
433439,407666,1609.1993,174081,719.8019,38800
148451,357664,2887.2012,319870,929.47125,74022
254887,341193,3451.1716,380046,595.95416,32957
434203,254523,2181.3684,225336,522.4579,24137
294985,399801,1558.1296,168193,387.88034,8620
63164,498178,2262.6887,260713,582.9918,34231
211218,148802,1952.0359,209610,5957.2285,648389
369188,187349,2356.9595,252499,535.46454,27014
235008,318146,2409.6814,273034,945.7826,62578
464453,533023,1337.8563,132966,566.673,19840
103549,109096,2913.2273,329895,627.5495,29831
419587,160651,2891.5305,342538,726.94116,45234
349920,135170,982.50543,122374,659.21204,30941
176698,275307,1121.6665,112044,412.0552,12315
